Index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1336,0.358,0.715,7,-6.181,1,0.331,0.197,0,0.581,0.275,85.478,audio_features,0NjW4SKY3gbfl2orl1p8hr,spotify:track:0NjW4SKY3gbfl2orl1p8hr,https://api.spotify.com/v1/tracks/0NjW4SKY3gbfl2orl1p8hr,https://api.spotify.com/v1/audio-analysis/0NjW4SKY3gbfl2orl1p8hr,319253,4
1337,0.619,0.613,9,-7.561,0,0.292,0.533,1.11E-05,0.167,0.515,89.824,audio_features,6DMqlUogO2dtvZ3098ziXf,spotify:track:6DMqlUogO2dtvZ3098ziXf,https://api.spotify.com/v1/tracks/6DMqlUogO2dtvZ3098ziXf,https://api.spotify.com/v1/audio-analysis/6DMqlUogO2dtvZ3098ziXf,174667,4
1338,0.667,0.872,4,-4.852,0,0.277,0.0517,0,0.215,0.735,177.216,audio_features,2BE6RdqMkyppSvOSGdgspH,spotify:track:2BE6RdqMkyppSvOSGdgspH,https://api.spotify.com/v1/tracks/2BE6RdqMkyppSvOSGdgspH,https://api.spotify.com/v1/audio-analysis/2BE6RdqMkyppSvOSGdgspH,176046,4
1339,0.646,0.819,1,-4.935,1,0.264,0.0385,0,0.314,0.864,89.67,audio_features,67YdK2ioGUkiEax6D0U9ta,spotify:track:67YdK2ioGUkiEax6D0U9ta,https://api.spotify.com/v1/tracks/67YdK2ioGUkiEax6D0U9ta,https://api.spotify.com/v1/audio-analysis/67YdK2ioGUkiEax6D0U9ta,216442,4
1340,0.913,0.847,7,-5.999,1,0.244,0.188,0,0.101,0.837,142.082,audio_features,5DioDvyrdjUIyeA07BPpm4,spotify:track:5DioDvyrdjUIyeA07BPpm4,https://api.spotify.com/v1/tracks/5DioDvyrdjUIyeA07BPpm4,https://api.spotify.com/v1/audio-analysis/5DioDvyrdjUIyeA07BPpm4,165634,4
1341,0.402,0.526,9,-6.741,0,0.0904,0.113,8.33E-06,0.105,0.312,81.404,audio_features,51EC3I1nQXpec4gDk0mQyP,spotify:track:51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/tracks/51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/audio-analysis/51EC3I1nQXpec4gDk0mQyP,339067,4
1342,0.856,0.427,2,-13.297,1,0.365,0.0958,0,0.1,0.774,144.118,audio_features,0goOUCNL6MYrqSVvGhvsxw,spotify:track:0goOUCNL6MYrqSVvGhvsxw,https://api.spotify.com/v1/tracks/0goOUCNL6MYrqSVvGhvsxw,https://api.spotify.com/v1/audio-analysis/0goOUCNL6MYrqSVvGhvsxw,240000,4
1343,0.521,0.793,7,-5.453,1,0.359,0.231,0,0.428,0.9,86.632,audio_features,5WmTAwp4cFgLUlT5rXj6Kz,spotify:track:5WmTAwp4cFgLUlT5rXj6Kz,https://api.spotify.com/v1/tracks/5WmTAwp4cFgLUlT5rXj6Kz,https://api.spotify.com/v1/audio-analysis/5WmTAwp4cFgLUlT5rXj6Kz,195507,4
1344,0.53,0.73,6,-6.058,0,0.0392,0.124,0,0.109,0.397,155.17,audio_features,45CUOI8AfmABHQHyc6Lptk,spotify:track:45CUOI8AfmABHQHyc6Lptk,https://api.spotify.com/v1/tracks/45CUOI8AfmABHQHyc6Lptk,https://api.spotify.com/v1/audio-analysis/45CUOI8AfmABHQHyc6Lptk,188535,4
1345,0.535,0.544,11,-8.217,0,0.403,0.639,0,0.124,0.351,94.06,audio_features,2O9TqT3NxvD1W7g5dBL7H0,spotify:track:2O9TqT3NxvD1W7g5dBL7H0,https://api.spotify.com/v1/tracks/2O9TqT3NxvD1W7g5dBL7H0,https://api.spotify.com/v1/audio-analysis/2O9TqT3NxvD1W7g5dBL7H0,178929,4
1346,0.524,0.778,3,-5.534,0,0.2,0.0142,0,0.189,0.362,125.136,audio_features,7wnKS5lo0w9V04E6yXzhxV,spotify:track:7wnKS5lo0w9V04E6yXzhxV,https://api.spotify.com/v1/tracks/7wnKS5lo0w9V04E6yXzhxV,https://api.spotify.com/v1/audio-analysis/7wnKS5lo0w9V04E6yXzhxV,210000,4
1347,0.79,0.792,0,-4.512,1,0.471,0.0951,0,0.184,0.799,158.971,audio_features,4xSrxjs4sqYM49JfOs7RmX,spotify:track:4xSrxjs4sqYM49JfOs7RmX,https://api.spotify.com/v1/tracks/4xSrxjs4sqYM49JfOs7RmX,https://api.spotify.com/v1/audio-analysis/4xSrxjs4sqYM49JfOs7RmX,185848,4
1348,0.711,0.695,10,-6.304,0,0.291,0.112,0,0.145,0.189,95.662,audio_features,0YABp1f1xnK8gkTguBi8wm,spotify:track:0YABp1f1xnK8gkTguBi8wm,https://api.spotify.com/v1/tracks/0YABp1f1xnK8gkTguBi8wm,https://api.spotify.com/v1/audio-analysis/0YABp1f1xnK8gkTguBi8wm,133194,4
1349,0.669,0.685,1,-7.469,0,0.262,0.181,0,0.0458,0.467,98.66,audio_features,3BMcrqAXwQi6EnnAonfXF0,spotify:track:3BMcrqAXwQi6EnnAonfXF0,https://api.spotify.com/v1/tracks/3BMcrqAXwQi6EnnAonfXF0,https://api.spotify.com/v1/audio-analysis/3BMcrqAXwQi6EnnAonfXF0,196970,4
1350,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,audio_features,5bJ1DrEM4hNCafcDd1oxHx,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx,https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx,345133,4
